"germplasmName","Function","Herbicide","Grain_Class","BLUE","studyYear","Trait"
"171L1640","Conventional_Entry","Conventional","Long",81.48119501,2018,"Days.to.heading.LSU_01.0000130"
"171L1647","Conventional_Entry","Conventional","Long",77.98119501,2018,"Days.to.heading.LSU_01.0000130"
"171L1768","Conventional_Entry","Conventional","Long",81.98119501,2018,"Days.to.heading.LSU_01.0000130"
"171L1769","Conventional_Entry","Conventional","Long",81.98119501,2018,"Days.to.heading.LSU_01.0000130"
"171L1788","Conventional_Entry","Conventional","Long",80.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1501","Conventional_Entry","Conventional","Long",80.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1502","Conventional_Entry","Conventional","Long",73.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1503","Conventional_Entry","Conventional","Long",73.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1504","Conventional_Entry","Conventional","Long",76.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1505","Conventional_Entry","Conventional","Long",79.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1506","Conventional_Entry","Conventional","Long",82.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1507","Conventional_Entry","Conventional","Long",80.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1508","Conventional_Entry","Conventional","Long",80.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1509","Conventional_Entry","Conventional","Long",75.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1510","Conventional_Entry","Conventional","Long",74.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1511","Conventional_Entry","Conventional","Long",80.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1512","Conventional_Entry","Conventional","Long",79.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1513","Conventional_Entry","Conventional","Long",79.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1514","Conventional_Entry","Conventional","Long",74.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1515","Conventional_Entry","Conventional","Long",77.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1516","Conventional_Entry","Conventional","Long",77.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1517","Conventional_Entry","Conventional","Long",74.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1518","Conventional_Entry","Conventional","Long",81.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1519","Conventional_Entry","Conventional","Long",79.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1520","Conventional_Entry","Conventional","Long",73.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1521","Conventional_Entry","Conventional","Long",82.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1522","Conventional_Entry","Conventional","Long",80.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1523","Conventional_Entry","Conventional","Long",80.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1524","Conventional_Entry","Conventional","Long",78.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1525","Conventional_Entry","Conventional","Long",80.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1526","Conventional_Entry","Conventional","Long",83.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1527","Conventional_Entry","Conventional","Long",81.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1528","Conventional_Entry","Conventional","Long",81.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1529","Conventional_Entry","Conventional","Long",83.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1530","Conventional_Entry","Conventional","Long",84.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1531","Conventional_Entry","Conventional","Long",80.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1532","Conventional_Entry","Conventional","Long",84.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1533","Conventional_Entry","Conventional","Long",84.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1534","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1535","Conventional_Entry","Conventional","Long",84.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1536","Conventional_Entry","Conventional","Long",79.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1540","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1541","Conventional_Entry","Conventional","Long",82.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1542","Conventional_Entry","Conventional","Long",84.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1543","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1544","Conventional_Entry","Conventional","Long",75.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1545","Conventional_Entry","Conventional","Long",81.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1546","Conventional_Entry","Conventional","Long",79.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1547","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1548","Conventional_Entry","Conventional","Long",79.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1549","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1550","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1551","Conventional_Entry","Conventional","Long",79.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1552","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1553","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1554","Conventional_Entry","Conventional","Long",86.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1555","Conventional_Entry","Conventional","Long",84.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1556","Conventional_Entry","Conventional","Long",80.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1557","Conventional_Entry","Conventional","Long",79.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1558","Conventional_Entry","Conventional","Long",80.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1559","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1560","Conventional_Entry","Conventional","Long",72.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1561","Conventional_Entry","Conventional","Long",73.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1562","Conventional_Entry","Conventional","Long",78.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1563","Conventional_Entry","Conventional","Long",74.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1564","Conventional_Entry","Conventional","Long",75.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1565","Conventional_Entry","Conventional","Long",74.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1566","Conventional_Entry","Conventional","Long",77.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1567","Conventional_Entry","Conventional","Long",74.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1573","Conventional_Entry","Conventional","Long",79.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1574","Conventional_Entry","Conventional","Long",79.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1579","Conventional_Entry","Conventional","Long",74.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1580","Conventional_Entry","Conventional","Long",77.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1581","Conventional_Entry","Conventional","Long",75.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1582","Conventional_Entry","Conventional","Long",80.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1583","Conventional_Entry","Conventional","Long",79.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1584","Conventional_Entry","Conventional","Long",77.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1586","Conventional_Entry","Conventional","Long",81.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1587","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1589","Conventional_Entry","Conventional","Long",80.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1591","Conventional_Entry","Conventional","Long",76.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1592","Conventional_Entry","Conventional","Long",79.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1594","Conventional_Entry","Conventional","Long",77.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1595","Conventional_Entry","Conventional","Long",81.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1615","Conventional_Entry","Conventional","Long",79.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1616","Conventional_Entry","Conventional","Long",79.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1617","Conventional_Entry","Conventional","Long",76.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1618","Conventional_Entry","Conventional","Long",76.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1619","Conventional_Entry","Conventional","Long",77.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1620","Conventional_Entry","Conventional","Long",80.48119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1621","Conventional_Entry","Conventional","Long",77.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1622","Conventional_Entry","Conventional","Long",76.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1623","Conventional_Entry","Conventional","Long",76.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1624","Conventional_Entry","Conventional","Long",78.98119501,2018,"Days.to.heading.LSU_01.0000130"
"181L1625","Conventional_Entry","Conventional","Long",79.48119501,2018,"Days.to.heading.LSU_01.0000130"
