germplasmName,BLUE,studyYear,Trait
LSU_RICE_0001,81.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0002,77.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0003,81.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0004,81.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0005,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0006,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0007,73.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0008,73.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0009,76.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0010,79.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0011,82.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0012,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0013,80.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0014,75.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0015,74.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0016,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0017,79.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0018,79.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0019,74.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0020,77.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0021,77.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0022,74.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0023,81.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0024,79.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0025,73.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0026,82.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0027,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0028,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0029,78.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0030,80.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0031,83.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0032,81.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0033,81.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0034,83.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0035,84.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0036,80.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0037,84.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0038,84.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0039,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0040,84.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0041,79.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0042,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0043,82.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0044,84.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0045,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0046,75.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0047,81.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0048,79.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0049,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0050,79.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0051,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0052,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0053,79.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0054,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0055,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0056,86.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0057,84.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0058,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0059,79.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0060,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0061,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0062,72.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0063,73.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0064,78.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0065,74.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0066,75.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0067,74.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0068,77.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0069,74.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0070,79.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0071,79.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0072,74.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0073,77.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0074,75.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0075,80.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0076,79.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0077,77.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0078,81.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0079,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0080,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0081,76.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0082,79.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0083,77.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0084,81.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0085,79.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0086,79.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0087,76.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0088,76.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0089,77.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0090,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0091,77.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0092,76.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0093,76.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0094,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0095,79.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0096,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0097,78.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0098,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0099,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0100,77.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0101,76.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0102,78.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0103,78.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0104,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0105,81.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0106,77.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0107,77.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0108,77.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0109,80.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0110,76.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0111,78.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0112,75.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0113,76.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0114,75.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0115,75.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0116,72.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0117,79.98119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0118,78.48119501,2018,Days.to.heading.LSU_01.0000130
LSU_RICE_0119,77.48119501,2018,Days.to.heading.LSU_01.0000130
